anime_id,genre_id
32281,8
32281,27
32281,29
32281,40
5114,2
5114,3
5114,8
5114,10
5114,18
5114,21
5114,34
28977,2
28977,5
28977,14
28977,24
28977,28
28977,30
28977,34
9253,30
9253,41
9969,2
9969,5
9969,14
9969,24
9969,28
9969,30
9969,34
32935,5
32935,8
32935,29
32935,34
32935,38
11061,2
11061,3
11061,34
11061,39
820,8
820,21
820,30
820,37
15335,2
15335,5
15335,14
15335,24
15335,28
15335,30
15335,34
15417,2
15417,5
15417,14
15417,24
15417,28
15417,30
15417,34
4181,8
4181,10
4181,27
4181,36
4181,40
28851,8
28851,29
28851,34
918,2
918,5
918,14
918,24
918,28
918,30
918,34
2904,2
2904,8
2904,20
2904,21
2904,30
2904,39
28891,5
28891,8
28891,29
28891,34
28891,38
199,3
199,8
199,40
23273,8
23273,22
23273,27
23273,29
23273,34
24701,3
24701,10
24701,14
24701,23
24701,31
24701,36
24701,40
12355,10
12355,36
1575,2
1575,20
1575,21
1575,29
1575,30
1575,39
263,5
263,8
263,34
263,38
44,2
44,8
44,14
44,19
44,27
44,28
1,2
1,3
1,5
1,8
1,30
1,37
30276,2
30276,5
30276,24
30276,30
30276,31
30276,39
30276,40
164,2
164,3
164,10
7311,5
7311,23
7311,27
7311,29
7311,30
7311,40
17074,5
17074,23
17074,27
17074,40
17074,42
21939,3
21939,10
21939,14
21939,23
21939,31
21939,36
21939,40
457,3
457,10
457,14
457,23
457,31
457,36
457,40
2001,2
2001,3
2001,5
2001,20
2001,30
245,5
245,8
245,29
245,34
245,36
32983,8
32983,10
32983,32
32983,36
32983,40
5258,5
5258,8
5258,34
5258,38
28957,3
28957,10
28957,14
28957,23
28957,31
28957,36
28957,40
11665,8
11665,10
11665,32
11665,36
11665,40
431,3
431,8
431,10
431,27
11741,2
11741,10
11741,40
11741,41
31757,2
31757,23
31757,40
31757,42
19,8
19,15
19,23
19,25
19,26
19,31
19,41
12365,5
12365,8
12365,27
12365,34
1535,23
1535,25
1535,26
1535,40
1535,41
32366,5
32366,24
30654,2
30654,5
30654,29
30654,34
20583,5
20583,8
20583,29
20583,34
20583,38
19647,5
19647,8
19647,34
19647,38
4282,2
4282,8
4282,23
4282,27
4282,40
4282,41
10379,8
10379,10
10379,32
10379,36
10379,40
22135,26
22135,31
22135,38
21329,3
21329,10
21329,14
21329,23
21329,31
21329,36
21329,40
31043,23
31043,26
31043,31
31043,40
7785,23
7785,26
7785,27
3297,10
3297,30
3297,34
3297,36
30709,5
30709,7
30709,10
30709,32
30709,40
6114,8
6114,14
6114,31
6114,41
31240,8
31240,10
31240,26
31240,41
4565,2
4565,20
4565,30
4565,37
4565,39
5300,8
5300,10
5300,32
5300,36
5300,40
9989,8
9989,36
9989,40
24415,5
24415,29
24415,34
24415,38
11577,30
11577,41
10408,8
10408,27
10408,32
10408,40
28171,9
28171,29
28171,34
32995,5
32995,38
21899,2
21899,5
21899,14
21899,24
21899,28
21899,30
21899,34
26055,2
26055,3
26055,8
26055,34
26055,40
7472,2
7472,5
7472,14
7472,24
7472,28
7472,30
7472,34
777,2
777,15
777,21
777,31
777,40
777,42
22535,2
22535,8
22535,15
22535,26
22535,30
22535,31
28735,8
28735,14
28735,16
12431,5
12431,30
12431,31
12431,36
12431,37
28805,3
28805,40
578,8
578,14
16894,5
16894,29
16894,34
16894,38
5028,5
5028,8
5028,27
5028,38
21,2
21,3
21,5
21,8
21,10
21,34
21,39
801,2
801,20
801,21
801,23
801,25
801,30
801,31
31933,2
31933,3
31933,5
31933,8
31933,34
31933,40
5205,2
5205,23
5205,27
5205,40
5205,41
17389,2
17389,14
17389,21
17389,31
170,5
170,8
170,29
170,34
170,38
10162,16
10162,36
18617,21
18617,29
32182,2
32182,5
32182,36
32182,40
877,5
877,8
877,22
877,27
877,32
877,36
2251,2
2251,5
2251,14
2251,23
2251,31
2251,40
24687,3
24687,10
24687,14
24687,23
24687,31
24687,36
24687,40
16498,2
16498,8
16498,10
16498,34
16498,39
10030,5
10030,8
10030,27
10030,34
5941,5
5941,8
5941,27
5941,29
5941,38
30346,27
30346,29
30346,35
30346,36
3784,2
3784,20
3784,30
13125,8
13125,15
13125,23
13125,30
13125,40
12029,2
12029,8
12029,21
12029,30
12029,37
14397,8
14397,11
14397,16
14397,36
14397,38
10087,2
10087,10
10087,40
14719,2
14719,3
14719,34
14719,40
14719,42
9756,8
9756,18
9756,26
9756,41
10165,5
10165,29
10165,36
13601,2
13601,25
13601,26
13601,30
22789,5
22789,36
30230,5
30230,29
30230,34
30230,38
18115,2
18115,3
18115,10
18115,18
18115,34
11981,8
11981,18
11981,26
11981,41
11917,5
11917,8
11917,38
205,2
205,3
205,5
205,14
205,28
205,34
32282,9
32282,29
32282,34
6594,2
6594,3
6594,14
6594,19
6594,27
11979,8
11979,18
11979,26
11979,41
7655,5
7655,8
7655,38
2246,7
2246,10
2246,14
2246,15
2246,23
2246,31
2246,40
25835,5
25835,8
2921,8
2921,38
136,2
136,3
136,34
136,39
30503,2
30503,3
30503,34
30503,40
12531,8
12531,16
12531,22
12531,27
12531,29
523,3
523,5
523,40
467,2
467,20
467,21
467,25
467,30
467,31
572,3
572,10
19815,3
19815,5
19815,9
19815,10
19815,11
19815,40
2559,3
2559,8
2559,14
2559,36
392,2
392,5
392,7
392,10
392,19
392,29
392,34
486,2
486,3
486,36
11771,5
11771,29
11771,34
11771,38
1698,5
1698,8
1698,16
1698,22
1698,27
1698,36
5341,3
5341,10
5341,14
5341,27
25781,2
25781,10
25781,32
25781,40
10863,30
10863,41
28701,2
28701,10
28701,18
28701,34
28701,40
5420,8
5420,10
9260,23
9260,40
9260,42
32,6
32,8
32,20
32,26
32,30
4224,5
4224,27
4224,29
4224,36
2236,3
2236,8
2236,27
2236,30
2685,2
2685,3
2685,8
2685,10
2685,27
2685,34
31181,5
31181,23
31181,40
45,2
45,3
45,5
45,14
45,27
45,28
2418,2
2418,3
2418,14
2418,28
1365,3
1365,23
1365,25
1365,34
22297,2
22297,10
22297,18
22297,34
22297,40
627,5
627,8
627,34
627,38
10937,2
10937,20
10937,21
10937,30
10937,34
10937,37
23755,2
23755,3
23755,9
23755,10
23755,34
23755,40
4081,8
4081,10
4081,32
4081,36
4081,40
4155,2
4155,3
4155,5
4155,8
4155,10
4155,34
1889,23
1889,26
1889,40
1889,41
137,2
137,3
137,34
137,39
139,2
139,3
139,34
139,39
23317,5
23317,7
23317,10
23317,14
23317,23
23317,34
23317,40
558,5
558,8
558,34
558,38
5040,26
5040,31
5040,38
57,5
57,8
57,22
57,34
57,36
33,2
33,3
33,7
33,8
33,10
33,15
33,21
33,27
33,31
33,40
5,2
5,8
5,23
5,30
5,37
1842,8
1842,34
1842,38
6336,2
6336,8
6336,20
6336,21
6336,30
6336,37
20651,8
20651,10
20651,32
20651,36
20651,40
1210,5
1210,8
1210,26
1210,27
338,3
338,8
338,14
338,27
338,32
13759,5
13759,8
13759,27
13759,29
13759,36
6547,2
6547,5
6547,8
6547,29
6547,40
5081,23
5081,27
5081,40
5081,42
32867,23
32867,31
32867,40
264,5
264,34
264,38
12859,2
12859,3
12859,5
12859,8
12859,10
12859,34
853,5
853,12
853,27
853,29
853,32
5460,2
5460,23
5460,25
5460,34
6746,2
6746,23
6746,40
5690,5
5690,16
5690,22
5690,27
329,8
329,27
329,30
329,31
329,37
34240,22
34240,30
513,3
513,10
513,27
513,30
6945,2
6945,5
6945,14
6945,24
6945,30
1142,8
1142,16
1142,27
6811,2
6811,3
6811,5
6811,7
6811,10
6811,18
6811,27
6811,34
6811,40
16664,10
16664,14
1604,2
1604,5
1604,34
1604,39
22145,5
22145,7
22145,10
22145,14
22145,34
22145,40
2966,3
2966,10
2966,14
2966,27
31964,2
31964,5
31964,29
31964,34
31964,39
19363,5
19363,29
19363,34
19363,36
18195,5
18195,8
18195,27
18195,29
18195,36
18195,40
9890,5
9890,8
9890,38
9130,2
9130,3
9130,19
9130,34
9130,39
9130,40
9863,5
9863,29
9863,34
7674,5
7674,27
7674,34
11843,5
11843,29
11843,34
11843,36
16782,8
16782,26
16782,27
16782,36
28675,10
28675,36
28675,40
3226,5
3226,8
3226,34
3226,38
21557,8
21557,23
21557,26
31715,5
31715,27
31715,36
43,2
43,20
43,25
43,26
43,30
43,31
9617,5
9617,22
9617,36
31051,2
31051,29
31051,34
31051,38
10153,2
10153,5
10153,8
10153,18
10153,39
1033,2
1033,3
1033,8
1033,10
1033,14
1033,27
32188,30
32188,41
3091,5
3091,8
3091,23
3091,26
3091,40
12115,2
12115,3
12115,7
12115,8
12115,10
12115,15
12115,21
12115,31
12115,40
28223,8
28223,11
28223,23
28223,26
28223,41
121,2
121,3
121,5
121,8
121,10
121,18
121,21
121,34
3002,11
3002,26
3002,31
3002,41
138,2
138,3
138,34
138,39
6675,2
6675,4
6675,30
6675,38
10800,8
10800,11
10800,16
10800,36
10800,38
32005,2
32005,23
32005,25
32005,34
813,2
813,3
813,5
813,10
813,19
813,34
813,39
27821,2
27821,10
27821,18
27821,34
27821,40
28725,8
28725,27
28725,29
585,3
585,8
585,10
585,27
585,36
16067,8
16067,10
16067,27
30,2
30,6
30,8
30,20
30,26
30,30
31490,2
31490,3
31490,5
31490,8
31490,10
31490,34
759,5
759,8
6,2
6,5
6,30
6864,23
6864,40
9735,2
9735,5
9735,14
9735,24
9735,28
9735,30
9735,34
11977,8
11977,18
11977,26
11977,41
11123,5
11123,8
11123,27
11123,35
23847,5
23847,8
23847,27
23847,29
33161,5
33161,27
33161,29
962,10
962,30
962,34
962,36
1519,2
1519,31
2167,5
2167,8
2167,27
2167,29
2167,36
2167,40
16706,5
16706,12
16706,27
16706,34
16706,40
5681,5
5681,30
3901,2
3901,5
3901,14
3901,23
3901,31
3901,40
6467,2
6467,23
6467,25
6467,34
10271,11
10271,26
10271,31
10271,41
22507,4
22507,31
22507,38
3701,3
3701,23
3701,27
3701,30
19123,2
19123,3
19123,5
19123,8
19123,10
19123,34
19123,39
33255,5
33255,29
33255,34
33255,40
372,5
372,8
372,10
372,18
372,27
372,32
265,5
265,34
265,38
25681,5
25681,7
25681,10
25681,27
25681,32
25681,40
4722,5
4722,8
4722,27
4722,32
24277,5
24277,8
24277,34
24277,38
239,8
239,23
239,30
239,40
239,41
512,3
512,5
512,8
512,10
512,18
512,27
4477,5
4477,16
4477,22
4477,27
4477,36
15323,2
15323,3
15323,5
15323,8
15323,10
15323,34
15323,39
31174,5
31174,24
23327,5
23327,30
23327,37
5365,8
3702,5
3702,22
3167,30
3167,36
7465,30
7465,36
7054,5
7054,27
7054,29
7054,32
1257,3
1257,30
1257,34
23283,26
23283,41
2025,2
2025,23
2025,30
2025,39
235,3
235,5
235,23
235,25
235,34
1364,3
1364,5
1364,23
1364,25
1364,34
18689,5
18689,29
18689,34
18689,38
22043,2
22043,3
22043,5
22043,10
22043,18
22043,34
31988,8
31988,22
31988,29
20899,2
20899,3
20899,8
20899,34
20899,40
1453,5
1453,8
1453,27
1453,36
23623,5
23623,29
23623,31
23623,36
1559,2
1559,5
1559,19
1559,29
1559,34
1382,3
1382,8
1382,20
1382,30
1382,34
23289,5
23289,27
23289,29
18,2
18,4
18,8
18,31
18,38
4814,5
4814,8
4814,27
4814,35
16662,8
16662,14
16662,27
12031,2
12031,14
12031,21
12031,31
8129,5
8129,16
8129,36
14513,2
14513,3
14513,10
14513,18
14513,34
2581,2
2581,8
2581,20
2581,21
2581,30
2581,37
30015,27
30015,29
30015,36
6171,2
6171,3
6171,19
6171,34
6171,39
6171,40
1827,2
1827,3
1827,10
1827,14
25013,2
25013,3
25013,5
25013,10
25013,27
25013,32
1367,3
1367,5
1367,23
1367,25
1367,34
27833,2
27833,23
27833,40
26213,5
26213,29
26213,36
1974,8
1974,32
8425,8
8425,14
8425,23
8425,27
12069,5
12069,8
12069,34
12069,38
185,2
185,4
185,8
185,31
185,38
18679,2
18679,5
18679,29
18679,39
2034,5
2034,27
2034,32
437,6
437,8
437,15
437,26
721,5
721,10
721,18
721,27
12477,30
12477,31
4938,2
4938,3
4938,8
4938,10
4938,18
4938,23
4938,27
4938,34
4938,40
2402,8
2402,38
6702,2
6702,3
6702,5
6702,10
6702,18
6702,34
1566,20
1566,21
1566,23
1566,25
1566,30
1566,31
31741,2
31741,3
31741,10
31741,18
31741,34
440,8
440,10
440,26
440,32
4107,2
4107,5
4107,20
1506,3
1506,5
1506,23
1506,25
1506,34
2759,2
2759,20
2759,30
72,2
72,5
72,29
3016,2
3016,8
3016,21
3016,30
3016,37
3783,2
3783,8
3783,23
3783,40
3783,41
3927,2
3927,8
3927,20
3927,21
3927,30
3927,37
11597,5
11597,23
11597,40
28025,5
28025,23
28025,40
24833,2
24833,5
24833,29
24833,34
29893,10
29893,30
29893,34
29893,36
27663,27
27663,29
27663,34
27663,38
1482,2
1482,3
1482,5
1482,34
3371,2
3371,21
3371,30
3371,37
25313,2
25313,5
25313,14
25313,24
25313,28
25313,30
25313,34
1430,3
1430,5
1430,34
33051,2
33051,8
33051,20
33051,30
33051,37
7720,5
7720,38
1914,3
1914,5
1914,8
1914,10
1914,14
1914,27
20371,5
20371,8
20371,27
20371,35
15039,8
15039,36
15039,40
2164,3
2164,5
2164,8
2164,23
2164,30
237,3
237,8
237,20
237,27
237,30
2449,2
2449,20
2449,23
2449,25
2449,26
2449,30
2449,31
10643,2
10643,5
10643,24
10643,28
17739,5
17739,29
17739,36
135,5
135,11
135,34
135,40
6045,27
6045,29
6045,32
6045,36
16001,5
16001,8
16001,27
16001,29
16001,36
16001,40
6211,8
232,3
232,5
232,8
232,10
232,18
232,27
232,29
232,32
4789,8
4789,23
4789,27
4789,40
16918,5
16918,29
16918,34
16918,36
16,5
16,8
16,16
16,27
1486,5
1486,8
1486,27
1486,32
24997,22
24997,29
24997,36
32902,10
32902,18
8063,5
8063,8
8063,27
8063,35
25879,5
25879,27
25879,36
889,2
889,31
21419,2
21419,23
21419,25
21419,34
2952,2
2952,10
2952,39
934,15
934,23
934,26
934,40
934,41
12189,23
12189,29
12189,36
731,3
731,8
731,22
731,30
1530,8
1530,27
1530,36
1530,40
9656,27
9656,29
9656,32
9656,36
20507,2
20507,3
20507,34
20507,40
31149,2
31149,10
31149,31
31149,40
4918,5
4918,8
4918,23
4918,26
4918,40
14075,2
14075,8
14075,10
14075,18
14075,23
14075,26
14075,34
4772,5
4772,34
4772,36
781,3
781,5
781,23
781,25
781,34
1363,3
1363,5
1363,23
1363,25
1363,34
223,3
223,5
223,10
223,19
223,34
223,39
2004,5
2004,8
2004,36
2004,40
25649,5
25649,8
25649,27
25649,35
153,2
153,3
153,10
153,18
153,40
5029,2
5029,34
5029,38
302,3
302,8
302,30
8740,2
8740,3
8740,5
8740,10
8740,34
8740,39
5682,2
5682,8
5682,31
5682,41
21647,5
21647,27
21647,36
16049,2
16049,30
16049,39
1065,8
1065,27
1065,29
1065,34
1065,36
1065,38
18179,5
18179,8
18179,34
18179,38
47,2
47,3
47,15
47,21
47,30
47,40
4901,2
4901,31
23199,2
23199,23
23199,40
32122,2
32122,5
32122,14
32122,24
32122,28
32122,34
30415,29
30415,36
30415,38
851,5
851,34
10049,2
10049,7
10049,34
10049,40
1943,10
1943,15
1943,23
1943,26
1943,30
1943,41
4053,5
4053,29
4053,34
4053,38
846,5
846,27
846,29
846,34
9926,5
9926,8
9926,27
9926,35
31173,8
31173,10
31173,27
31173,32
4059,8
4059,27
4059,29
4059,36
589,2
589,3
589,8
589,34
15059,2
15059,4
15059,8
15059,31
15059,38
7791,5
7791,22
7791,29
7791,36
17265,2
17265,3
17265,10
17265,11
17265,18
17265,34
20815,5
20815,27
20815,35
535,3
535,5
535,7
535,10
535,18
2563,10
2563,30
