name,anime_id,type,episodes,rating,members
Kimi no Na wa.,32281,Movie,1,9.37,200630
Fullmetal Alchemist: Brotherhood,5114,TV,64,9.26,793665
Gintama°,28977,TV,51,9.25,114262
Steins;Gate,9253,TV,24,9.17,673572
Gintama&#039;,9969,TV,51,9.16,151266
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,32935,TV,10,9.15,93351
Hunter x Hunter (2011),11061,TV,148,9.13,425855
Ginga Eiyuu Densetsu,820,OVA,110,9.11,80679
Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,15335,Movie,1,9.10,72534
Gintama&#039;: Enchousen,15417,TV,13,9.11,81109
Clannad: After Story,4181,TV,24,9.06,456749
Koe no Katachi,28851,Movie,1,9.05,102733
Gintama,918,TV,201,9.04,336376
Code Geass: Hangyaku no Lelouch R2,2904,TV,25,8.98,572888
Haikyuu!! Second Season,28891,TV,25,8.93,179342
Sen to Chihiro no Kamikakushi,199,Movie,1,8.93,466254
Shigatsu wa Kimi no Uso,23273,TV,22,8.92,416397
Mushishi Zoku Shou 2nd Season,24701,TV,10,8.88,75894
Ookami Kodomo no Ame to Yuki,12355,Movie,1,8.84,226193
Code Geass: Hangyaku no Lelouch,1575,TV,25,8.83,715151
Hajime no Ippo,263,TV,75,8.83,157670
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,44,OVA,4,8.83,129307
Cowboy Bebop,1,TV,26,8.82,486824
One Punch Man,30276,TV,12,8.82,552458
Mononoke Hime,164,Movie,1,8.81,339556
Suzumiya Haruhi no Shoushitsu,7311,Movie,1,8.81,240297
Monogatari Series: Second Season,17074,TV,26,8.80,205959
Mushishi Zoku Shou,21939,TV,10,8.80,101351
Mushishi,457,TV,26,8.78,300030
Tengen Toppa Gurren Lagann,2001,TV,27,8.78,562962
Great Teacher Onizuka,245,TV,43,8.77,268487
Natsume Yuujinchou Go,32983,TV,13,8.76,38865
Hajime no Ippo: New Challenger,5258,TV,26,8.75,88995
Mushishi Zoku Shou: Suzu no Shizuku,28957,Movie,1,8.75,32266
Natsume Yuujinchou Shi,11665,TV,13,8.75,98431
Howl no Ugoku Shiro,431,Movie,1,8.74,333186
Fate/Zero 2nd Season,11741,TV,12,8.73,340973
Kizumonogatari II: Nekketsu-hen,31757,Movie,1,8.73,34347
Monster,19,TV,74,8.72,247562
Bakuman. 3rd Season,12365,TV,25,8.71,133620
Death Note,1535,TV,37,8.71,1013917
Gintama°: Aizome Kaori-hen,32366,OVA,2,8.69,16947
Ansatsu Kyoushitsu (TV) 2nd Season,30654,TV,25,8.68,176475
Haikyuu!!,20583,TV,25,8.68,284498
Hajime no Ippo: Rising,19647,TV,25,8.68,66756
Kara no Kyoukai 5: Mujun Rasen,4282,Movie,1,8.68,111074
Natsume Yuujinchou San,10379,TV,13,8.67,102322
Ping Pong The Animation,22135,TV,11,8.67,97187
Mushishi Special: Hihamukage,21329,Special,1,8.66,49036
Boku dake ga Inai Machi,31043,TV,12,8.65,402381
Yojouhan Shinwa Taikei,7785,TV,11,8.65,122531
Aria The Origination,3297,TV,13,8.64,56162
Kamisama Hajimemashita: Kako-hen,30709,OVA,4,8.64,33422
Rainbow: Nisha Rokubou no Shichinin,6114,TV,26,8.64,139474
Re:Zero kara Hajimeru Isekai Seikatsu,31240,TV,25,8.64,355839
Tengen Toppa Gurren Lagann Movie: Lagann-hen,4565,Movie,1,8.64,82253
Zoku Natsume Yuujinchou,5300,TV,13,8.64,114173
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,9989,TV,11,8.62,463835
Kuroko no Basket 3rd Season,24415,TV,25,8.62,184525
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,11577,Movie,1,8.61,192424
Hotarubi no Mori e,10408,Movie,1,8.61,197439
Shokugeki no Souma,28171,TV,24,8.61,348951
Yuri!!! on Ice,32995,TV,12,8.61,103178
Gintama: Yorinuki Gintama-san on Theater 2D,21899,Movie,2,8.60,11104
JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,26055,TV,24,8.60,93657
Gintama Movie: Shinyaku Benizakura-hen,7472,Movie,1,8.59,51185
Hellsing Ultimate,777,OVA,10,8.59,297454
Kiseijuu: Sei no Kakuritsu,22535,TV,24,8.59,425457
Shouwa Genroku Rakugo Shinjuu,28735,TV,13,8.59,71295
Uchuu Kyoudai,12431,TV,99,8.59,72958
Bakemono no Ko,28805,Movie,1,8.58,80825
Hotaru no Haka,578,Movie,1,8.58,174878
Kuroko no Basket 2nd Season,16894,TV,25,8.58,243325
Major S5,5028,TV,25,8.58,28653
One Piece,21,TV,Unknown,8.58,504862
Ghost in the Shell: Stand Alone Complex 2nd GIG,801,TV,26,8.57,113993
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,31933,TV,39,8.57,74074
