userId,review
1,Well it's a short animation to celebrate Kamachi Kazuma's work as a novelist (it features characters from his different series)
2,Really underwhelming. Was pretty disappointed
3,"first of all: I agree with ﻿﻿﻿﻿luminex's review of this anime. I think that review has a great deal of truth and info to it."
4,Story: 6
5,Kinda sucks
6,Pretty good. Has a solid story and solid characters
7,Warning: This review has a few things that could be considered spoilers.
8,Excellent. Deserves more recognition
9,Most anime series can be neatly categorized into some kind of cliche-ridden group or another: magical girls mecha sports slice of life ecchi.  Magical girl  series for example will always have prepubescent girls with colorful wands long transformation sequences and brains the size of a Chinese dumpling. That my dear kiddies is  cliche . It causes cancer.
10,Shows like these are the reason why I stay in on the weekends
11,AMAZING!!!! 10/10 everyone watch this right now
12,This one is actually good compared to the specials. It is a small field trip to the hotsprings. It is quite funny and there is an alternate romance idea and scene between two characters that may come as a surprise. Don't get your hopes up for seeing much though during this hotspring trip no parts are shown. It  includes most of the characters we know well so definitely worth a watch. 
13,Shows like these are the reason why I stay in on the weekends
14,Excellent. Deserves more recognition
15,As a fan of the entire .Hack series I beleive that I rate more harsly than the normal person.
16,Pretty good. Has a solid story and solid characters
17,Shows like these are the reason why I stay in on the weekends
18,Inspired by an old videogame this 50 minutes anime talks about a heroic party who explores a dungeon filled with monsters in order to find an evil wizard and kill him. It's an old anime but well animated and well drawn. Violence abounds with blood deaths losing limbs. This OAV is so simple in its plot and so short that I don't have anything else to say. Those who likes RPGs and fantasy should watch it
19,Kinda sucks
20,Really underwhelming. Was pretty disappointed
21,Wow. I cannot believe I wasted my time on this
22,Really underwhelming. Was pretty disappointed
23,Shows like these are the reason why I stay in on the weekends
24,Haibane Renmei is a beautiful anime and I really do recommend you watch it. Respect to most anime it deals with completely different themes. Salvation and redemption self-discovery and spirituality. You get plunged in a world that's mysterious and dense with symbolism. And it's clear that the Haibane Renmei world has indeed been thought out in detail by its authors there's a sense of purpose and meaning behind everything it's inherently consistent. Even though there are things that are not explained you never really understand exactly what haibane are and what's beyond the walls and what happens to the haibane who leave for their first flight and how they ended up there in the first place and so on and so on... but somehow it doesn't matter. The story isn't about the world behind the anime it's about Rakka and Reki. While I was watching it I was forcefully reminded of a book written by Murakami Haruki Hard-boiled wonderland and the end of the earth; they have in common the city behind the walls the alternate world the mystical atmosphere ...
25,Wow. I cannot believe I wasted my time on this
26,The story of Haibane Renmei was created by Yoshitoshi ABe as an original manga which was never completed but ended up becoming this anime in 2002. I know that ABe has also worked on Lain and Texhnolyze so I gotta say I'm really impressed with everything that he's done. This series in particular is my favorite amongst the aforementioned works though and I'll never forget the first time I watched through it.
27,While I will try to remain unbiased as possible there will still be a large element of bias present in this review since this anime is one of my top favorites.
28,Kinda sucks
29,Haibane Renmei was an anime that I thought was going to be more than what it was.  I was honestly a little disappointed.  If you're reading this it's a good thing because now you won't expect too much out of it.  I'm not saying it was bad.  I'm just saying that I was disappointed.
30,Excellent. Deserves more recognition
31,Sub-par. You'd be better off watching Hunter x Hunter
32,Wow. I cannot believe I wasted my time on this
33,<adolescent review>
34,Pretty good. Has a solid story and solid characters
35,Pretty good. Has a solid story and solid characters
36,AMAZING!!!! 10/10 everyone watch this right now
37,I'll start off by saying that if you don't like slow paced anime you won't like Saiyuki.  That said it's one of the most brilliantly written pieces of work.  Even the filler episodes are interesting and worth watching at least once.
38,Excellent. Deserves more recognition
39,Excellent. Deserves more recognition
40,Wow. I cannot believe I wasted my time on this
41,Excellent. Deserves more recognition
42,Really underwhelming. Was pretty disappointed
43,What made me so hooked on this anime wasn't the actual animation but the characters themselves. They each have their own detailed back story and are really fun to watch. Saiyuki has a huge amount of filler episodes and the only thing that keeps me from being bored to death are the characters.
44,Yes yes Yes this is jouney to the west my friend and I wanna make sweet love to it that’s right see Sanzo Goku Gojo and Haikki in this funny brutal cliff jumping version of the cult classic. A Sanzo priest is venturing west in this story to discover the origins of a mist which has caused all demons that onced lived harmoniously with human to go insane. with him is the god born from stone (Goku) and the two half demons (Son Gojo - mother was a human father a demon) and Cho Hakkai (Killed over 1000 demons in a rampage after the loss of his beloved and became a demon himself). together they battle hords and uncover the story of the gods and there origins/ I love this beautiful work of art for both its humour and plot. watch it I urge you
45,Shows like these are the reason why I stay in on the weekends
46,First off if you are at all interested in watching this anime please do yourself a favor and watch the first season first. This second season picks off directly after the first.
47,Really underwhelming. Was pretty disappointed
48,This is a really really great anime. It’s just so interesting and fresh. It’s actually made itself so distinct and unique that I can’t think of any other animes that I have seen that I can recommend this anime for. Believe me I’ve made a lot of recommendations and I try to make recommendations for all of the anime I’ve seen and liked. But I just can’t think of an anime I can recommend for people who like Chihayafuru never mind the second season. This is not a bad thing; in fact this might actually be a good thing. It just makes this anime all the more special because it just feels so new and original and it’s just honestly so great to watch.
49,Pretty good. Has a solid story and solid characters
